"case_id","source_id","exam_type","exam_class","exam_subject","question_type"
"CMBEXAM_001","8026","专业知识考试","基础医学","药理学","单项选择题"
"CMBEXAM_002","8065","专业知识考试","基础医学","生理学","单项选择题"
"CMBEXAM_003","8075","专业知识考试","基础医学","医学心理学","单项选择题"
"CMBEXAM_004","8099","专业知识考试","基础医学","医学免疫学","单项选择题"
"CMBEXAM_005","8106","专业知识考试","基础医学","生理学","单项选择题"
"CMBEXAM_006","8145","专业知识考试","基础医学","生物化学与分子生物学","单项选择题"
"CMBEXAM_007","8191","专业知识考试","基础医学","生物化学与分子生物学","单项选择题"
"CMBEXAM_008","8204","专业知识考试","基础医学","生物化学与分子生物学","单项选择题"
"CMBEXAM_009","8221","专业知识考试","基础医学","生物化学与分子生物学","单项选择题"
"CMBEXAM_010","8228","专业知识考试","基础医学","生理学","单项选择题"
"CMBEXAM_011","8230","专业知识考试","基础医学","系统解剖学","单项选择题"
"CMBEXAM_012","8247","专业知识考试","基础医学","病理学","单项选择题"
"CMBEXAM_013","8248","专业知识考试","基础医学","系统解剖学","单项选择题"
"CMBEXAM_014","8356","专业知识考试","基础医学","局部解剖学","单项选择题"
"CMBEXAM_015","8361","专业知识考试","基础医学","生物化学与分子生物学","单项选择题"
"CMBEXAM_016","8366","专业知识考试","基础医学","生理学","单项选择题"
"CMBEXAM_017","8418","专业知识考试","临床医学","儿科学","单项选择题"
"CMBEXAM_018","8428","专业知识考试","临床医学","神经病学","单项选择题"
"CMBEXAM_019","8476","专业知识考试","临床医学","儿科学","单项选择题"
"CMBEXAM_020","8500","专业知识考试","临床医学","儿科学","单项选择题"
"CMBEXAM_021","8510","专业知识考试","临床医学","传染病学","单项选择题"
"CMBEXAM_022","8513","专业知识考试","临床医学","外科学","单项选择题"
"CMBEXAM_023","8523","专业知识考试","临床医学","外科学","单项选择题"
"CMBEXAM_024","8530","专业知识考试","临床医学","儿科学","单项选择题"
"CMBEXAM_025","8543","专业知识考试","临床医学","儿科学","单项选择题"
"CMBEXAM_026","8571","专业知识考试","临床医学","放射学","单项选择题"
"CMBEXAM_027","8604","专业知识考试","临床医学","核医学","单项选择题"
"CMBEXAM_028","8611","专业知识考试","临床医学","外科学","单项选择题"
"CMBEXAM_029","8612","专业知识考试","临床医学","外科学","单项选择题"
"CMBEXAM_030","8633","专业知识考试","临床医学","皮肤性病学","单项选择题"
"CMBEXAM_031","8672","专业知识考试","临床医学","核医学","单项选择题"
"CMBEXAM_032","8684","专业知识考试","临床医学","牙体牙髓病学","单项选择题"
"CMBEXAM_033","8695","专业知识考试","临床医学","儿科学","单项选择题"
"CMBEXAM_034","8737","专业知识考试","临床医学","外科学","单项选择题"
"CMBEXAM_035","8739","专业知识考试","临床医学","儿科学","单项选择题"
"CMBEXAM_036","8744","专业知识考试","临床医学","神经病学","单项选择题"
"CMBEXAM_037","8757","专业知识考试","临床医学","儿科学","单项选择题"
"CMBEXAM_038","8769","专业知识考试","临床医学","皮肤性病学","单项选择题"
"CMBEXAM_039","8800","专业知识考试","临床医学","物理诊断学","单项选择题"
"CMBEXAM_040","8802","专业知识考试","预防医学与公共卫生学","卫生学","单项选择题"
"CMBEXAM_041","8805","专业知识考试","预防医学与公共卫生学","预防医学","单项选择题"
"CMBEXAM_042","8823","专业知识考试","预防医学与公共卫生学","预防医学","单项选择题"
"CMBEXAM_043","8825","专业知识考试","预防医学与公共卫生学","预防医学","单项选择题"
"CMBEXAM_044","8838","专业知识考试","预防医学与公共卫生学","卫生学","单项选择题"
"CMBEXAM_045","8875","专业知识考试","预防医学与公共卫生学","卫生学","单项选择题"
"CMBEXAM_046","8923","专业知识考试","预防医学与公共卫生学","预防医学","单项选择题"
"CMBEXAM_047","8924","专业知识考试","预防医学与公共卫生学","预防医学","单项选择题"
"CMBEXAM_048","8945","专业知识考试","预防医学与公共卫生学","预防医学","单项选择题"
"CMBEXAM_049","8949","专业知识考试","预防医学与公共卫生学","预防医学","单项选择题"
"CMBEXAM_050","9001","专业知识考试","预防医学与公共卫生学","预防医学","单项选择题"
"CMBEXAM_051","9013","专业知识考试","预防医学与公共卫生学","预防医学","单项选择题"
"CMBEXAM_052","9036","专业知识考试","预防医学与公共卫生学","预防医学","单项选择题"
"CMBEXAM_053","9071","专业知识考试","预防医学与公共卫生学","医学伦理学","单项选择题"
"CMBEXAM_054","9092","专业知识考试","预防医学与公共卫生学","预防医学","单项选择题"
"CMBEXAM_055","9117","专业知识考试","预防医学与公共卫生学","预防医学","单项选择题"
"CMBEXAM_056","9131","专业知识考试","预防医学与公共卫生学","预防医学","单项选择题"
